Dataset,Variant,Result
Squirrel-F,Full HAFS (top-K),42.55 ± 0.59
Squirrel-F,w/o label relevance,42.17 ± 0.28
Squirrel-F,w/o homophily gain,42.55 ± 0.59
Squirrel-F,w/o cost penalty,40.82 ± 1.69
Squirrel-F,threshold selection,42.10 ± 2.06
Chameleon-F,Full HAFS (top-K),42.09 ± 1.73
Chameleon-F,w/o label relevance,43.76 ± 3.04
Chameleon-F,w/o homophily gain,42.09 ± 1.73
Chameleon-F,w/o cost penalty,43.02 ± 4.35
Chameleon-F,threshold selection,43.76 ± 3.24
Minesweeper,Full HAFS (top-K),84.42 ± 0.66
Minesweeper,w/o label relevance,84.25 ± 0.89
Minesweeper,w/o homophily gain,84.46 ± 0.63
Minesweeper,w/o cost penalty,78.79 ± 6.79
Minesweeper,threshold selection,82.21 ± 3.45
