Dataset,Model,Metric,Run,Score,Val,Seconds,Mem,AddedNodes,AddedEdges
Squirrel-F,GRAPHITE (all),accuracy,1,0.42471909523010254,0.47116735577583313,91.81420397758484,11277.37255859375,1593,32481
Squirrel-F,GRAPHITE (all),accuracy,2,0.44269663095474243,0.47116735577583313,91.79078149795532,11277.37255859375,1593,32481
Squirrel-F,GRAPHITE (all),accuracy,3,0.44044944643974304,0.47819972038269043,91.78626489639282,11277.37255859375,1593,32481
Squirrel-F,GRAPHITE (all),accuracy,4,0.44269663095474243,0.47538676857948303,91.80595517158508,11277.37255859375,1593,32481
Squirrel-F,GRAPHITE (all),accuracy,5,0.4314606785774231,0.47538676857948303,91.82245206832886,11277.37255859375,1593,32481
Squirrel-F,GRAPHITE (all),accuracy,6,0.4674157500267029,0.4444444477558136,91.81282591819763,11277.37255859375,1593,32481
Squirrel-F,GRAPHITE (all),accuracy,7,0.4359550476074219,0.47679322957992554,91.79907584190369,11277.37255859375,1593,32481
Squirrel-F,GRAPHITE (all),accuracy,8,0.42471909523010254,0.4739803075790405,91.80068230628967,11277.37255859375,1593,32481
Squirrel-F,GRAPHITE (all),accuracy,9,0.42022472620010376,0.4514767825603485,91.79839396476746,11277.37255859375,1593,32481
Squirrel-F,GRAPHITE (all),accuracy,10,0.45393258333206177,0.4472573697566986,91.77342772483826,11277.37255859375,1593,32481
Squirrel-F,HAFS,accuracy,1,0.42022472620010376,0.4641350209712982,86.00147032737732,10565.5859375,1195,27314
Squirrel-F,HAFS,accuracy,2,0.4314606785774231,0.4585091471672058,84.15774869918823,10301.82568359375,1195,25334
Squirrel-F,HAFS,accuracy,3,0.42247191071510315,0.4669479429721832,83.42544102668762,10192.36767578125,1195,24507
Squirrel-F,HAFS,accuracy,4,0.45617976784706116,0.4683544337749481,86.24750661849976,10600.28759765625,1195,27575
Squirrel-F,HAFS,accuracy,5,0.4314606785774231,0.4669479429721832,83.52066612243652,10209.12060546875,1195,24633
Squirrel-F,HAFS,accuracy,6,0.47415730357170105,0.4458509087562561,83.65641450881958,10228.5390625,1195,24779
Squirrel-F,HAFS,accuracy,7,0.44044944643974304,0.47679322957992554,84.10727882385254,10289.19091796875,1195,25233
Squirrel-F,HAFS,accuracy,8,0.4337078630924225,0.4697608947753906,85.7600884437561,10521.3271484375,1195,26984
Squirrel-F,HAFS,accuracy,9,0.4157303273677826,0.4556961953639984,83.86591601371765,10260.17724609375,1195,25017
Squirrel-F,HAFS,accuracy,10,0.47415730357170105,0.4472573697566986,86.19885635375977,10590.1845703125,1195,27499
Chameleon-F,GRAPHITE (all),accuracy,1,0.4525139629840851,0.5387324094772339,28.094690799713135,3059.15673828125,1980,9903
Chameleon-F,GRAPHITE (all),accuracy,2,0.48603349924087524,0.5316901206970215,28.08294415473938,3059.15673828125,1980,9903
Chameleon-F,GRAPHITE (all),accuracy,3,0.4581005573272705,0.5070422291755676,28.094330072402954,3059.15673828125,1980,9903
Chameleon-F,GRAPHITE (all),accuracy,4,0.4581005573272705,0.5,28.11121702194214,3059.15673828125,1980,9903
Chameleon-F,GRAPHITE (all),accuracy,5,0.48603349924087524,0.5035211443901062,28.098032236099243,3059.15673828125,1980,9903
Chameleon-F,GRAPHITE (all),accuracy,6,0.4581005573272705,0.5211267471313477,28.118173599243164,3059.15673828125,1980,9903
Chameleon-F,GRAPHITE (all),accuracy,7,0.4357541799545288,0.5316901206970215,28.0317063331604,3059.15673828125,1980,9903
Chameleon-F,GRAPHITE (all),accuracy,8,0.4525139629840851,0.5,28.09165096282959,3059.15673828125,1980,9903
Chameleon-F,GRAPHITE (all),accuracy,9,0.5474860072135925,0.5422534942626953,28.09797167778015,3059.15673828125,1980,9903
Chameleon-F,GRAPHITE (all),accuracy,10,0.44134077429771423,0.5211267471313477,28.08831763267517,3059.15673828125,1980,9903
Chameleon-F,HAFS,accuracy,1,0.42458099126815796,0.5281689763069153,24.372116327285767,2741.86669921875,1485,7841
Chameleon-F,HAFS,accuracy,2,0.51396644115448,0.51408451795578,24.65681552886963,2767.671875,1485,8035
Chameleon-F,HAFS,accuracy,3,0.4972066879272461,0.5105633735656738,25.119447469711304,2819.68212890625,1485,8426
Chameleon-F,HAFS,accuracy,4,0.4525139629840851,0.4964788556098938,24.19092869758606,2722.8466796875,1485,7698
Chameleon-F,HAFS,accuracy,5,0.4581005573272705,0.5070422291755676,24.852953672409058,2784.43310546875,1485,8161
Chameleon-F,HAFS,accuracy,6,0.5027932524681091,0.5105633735656738,25.274179935455322,2829.6572265625,1485,8501
Chameleon-F,HAFS,accuracy,7,0.4134078025817871,0.5070422291755676,24.73962378501892,2771.5263671875,1485,8064
Chameleon-F,HAFS,accuracy,8,0.4748603105545044,0.5105633735656738,24.335214853286743,2729.22509765625,1485,7746
Chameleon-F,HAFS,accuracy,9,0.5363128185272217,0.5563380122184753,25.07976722717285,2802.5224609375,1485,8297
Chameleon-F,HAFS,accuracy,10,0.48603349924087524,0.5492957830429077,23.875995635986328,2697.705078125,1485,7509
Minesweeper,GRAPHITE (all),auc,1,0.8722249999999999,0.8701610000000001,138.34072279930115,8103.41455078125,7,10000
Minesweeper,GRAPHITE (all),auc,2,0.886009,0.8889859999999999,138.33025932312012,8103.41455078125,7,10000
Minesweeper,GRAPHITE (all),auc,3,0.88402,0.888321,138.35955953598022,8103.41455078125,7,10000
Minesweeper,GRAPHITE (all),auc,4,0.8758210000000001,0.86517,138.31835389137268,8103.41455078125,7,10000
Minesweeper,GRAPHITE (all),auc,5,0.889485,0.883568,138.3420467376709,8103.41455078125,7,10000
Minesweeper,GRAPHITE (all),auc,6,0.8891089999999999,0.873289,138.33635783195496,8103.41455078125,7,10000
Minesweeper,GRAPHITE (all),auc,7,0.868939,0.884849,138.32846879959106,8103.41455078125,7,10000
Minesweeper,GRAPHITE (all),auc,8,0.8677119999999998,0.8512449999999999,138.33559465408325,8103.41455078125,7,10000
Minesweeper,GRAPHITE (all),auc,9,0.8914450000000002,0.89573,138.3536241054535,8103.41455078125,7,10000
Minesweeper,GRAPHITE (all),auc,10,0.8875159999999999,0.881769,138.33305072784424,8103.41455078125,7,10000
Minesweeper,HAFS,auc,1,0.857962,0.854697,87.29160571098328,7342.265625,4,4258
Minesweeper,HAFS,auc,2,0.8767900000000002,0.892449,87.8929431438446,7399.94970703125,4,4703
Minesweeper,HAFS,auc,3,0.8740215,0.87804,87.93453812599182,7399.94970703125,4,4703
Minesweeper,HAFS,auc,4,0.8799085000000001,0.8681869999999998,86.6853883266449,7240.41357421875,4,3493
Minesweeper,HAFS,auc,5,0.8674885,0.85453,87.93052840232849,7399.94970703125,4,4703
Minesweeper,HAFS,auc,6,0.874152,0.8646090000000001,87.90998721122742,7399.94970703125,4,4703
Minesweeper,HAFS,auc,7,0.8646380000000001,0.874306,87.28307485580444,7342.265625,4,4258
Minesweeper,HAFS,auc,8,0.868525,0.855987,87.92309331893921,7399.94970703125,4,4703
Minesweeper,HAFS,auc,9,0.8781470000000001,0.8817349999999999,87.30025482177734,7342.265625,4,4258
Minesweeper,HAFS,auc,10,0.8646400000000001,0.867232,87.91262364387512,7399.94970703125,4,4703
